"Track";"Album Name";"Artist";"Release Date";"ISRC";"All Time Rank";"Track Score";"Spotify Streams";"Spotify Playlist Count";"Spotify Playlist Reach";"Spotify Popularity";"YouTube Views";"YouTube Likes";"TikTok Posts";"TikTok Likes";"TikTok Views";"YouTube Playlist Reach";"Apple Music Playlist Count";"AirPlay Spins";"SiriusXM Spins";"Deezer Playlist Count";"Deezer Playlist Reach";"Amazon Playlist Count";"Pandora Streams";"Pandora Track Stations";"Soundcloud Streams";"Shazam Counts";"Explicit Track"
"Daylight";"Daylight";"David Kushner";"2023-04-14";"QZXDB2300005";44;207.0;1126820069;177800;85255689;82;274070101;3701289;2557115;2557115;2578518632;1205538057;163;259255;96;77;3413707;80;28924685;14634;9505098;8681350;0
"My Love Mine All Mine";"The Land Is Inhospitable and So Are We";"Mitski";"2023-09-15";"USJ5G2335007";45;206.2;997702304;105927;92834002;86;48093111;959175;3648759;3648759;5469808282;298259422;91;36285;2676;63;10874749;110;6151267;9160;7980051;2682219;0
"Please Please Please";"Please Please Please";"Sabrina Carpenter";"2024-06-06";"USUM72404101";46;205.7;59314441;2572;183043096;83;22374807;1026097;0;0;1200000;110446147;199;2359;2;73;13686074;98;360163;758;9883;47115;1
"Houdini";"Houdini - Single";"Dua Lipa";"2023-11-09";"GBAHT2301246";47;205.1;493627071;45300;87874006;80;150571504;1575378;93500;93500;386610043;3129834452;174;564640;405;146;28246184;127;25843941;3694;1991527;2389957;0
"If We Ever Broke Up";"If We Ever Broke Up";"Mae Stephens";"2023-02-10";"GBUM72300969";49;203.6;304929492;43923;46133083;69;61986821;921044;13872768;13872768;5684815935;19218089;78;92638;822;41;3467570;36;7444354;7188;0;2227494;1
"Despacito";"Despacito (Featuring Daddy Yankee)";"Luis Fonsi";"2017-01-13";"USUM71607007";50;203.5;1747093405;178114;49464650;74;2147483647;61799279;799338;799338;1143297071;569548901;179;121234;116;145;1977014;118;266603596;2359900;0;19622551;0
"euphoria";"euphoria";"Kendrick Lamar";"2024-04-30";"USUG12402839";51;202.1;168434320;17168;62516401;86;53604746;1846535;0;0;0;174375427;65;6408;77;20;428378;31;3156727;4843;4304870;654482;1
"Calm Down (with Selena Gomez)";"Calm Down (with Selena Gomez)";"Rema";"2022-08-25";"NGA3B2214021";53;198.0;1391688322;163876;130963116;77;902742581;8099187;599;599;2857920;750030685;316;1107265;0;112;11937930;146;52073859;41487;5820026;3521951;0
"Shape of You";"Shape of You";"Ed Sheeran";"2017-01-06";"GBAHS1600463";54;195.1;3909458734;316378;148037882;80;2147483647;45770887;2270315;2270315;2320856331;2294804623;465;402829;282;512;2710931;115;733565655;651557;78149375;1146246;0
"Blinding Lights";"Blinding Lights";"The Weeknd";"2019-11-29";"USUG11904206";56;194.0;4281468720;590392;165544011;83;833807130;10093211;2882064;2882064;3501177394;2258085924;859;1695240;1116;564;11701129;184;489299762;319634;28659471;28994660;0
"Creepin' (with The Weeknd & 21 Savage)";"HEROES & VILLAINS";"Metro Boomin";"2022-12-02";"USUG12208791";57;192.3;1337619917;228295;64806723;80;193982443;2023998;423714;423714;1268862678;444033037;152;952186;34;58;2134791;66;77382416;28694;0;6205060;1
"Unholy (feat. Kim Petras)";"Unholy (feat. Kim Petras)";"Sam Smith";"2022-09-22";"GBUM72205415";60;189.1;1556275789;210583;95974138;74;254051906;3364206;2379787;2379787;7945975878;1524133775;203;718849;117;63;1616564;167;111398743;71335;10424892;10192485;0
"Supernova";"Supernova";"aespa";"2024-05-13";"KRA302400090";63;186.1;69729033;2483;21046278;81;111310770;1724693;56600;56600;393973528;32059104;40;709;13;7;544322;14;45515;100;255951;63283;0
"Me Porto Bonito";"Un Verano Sin Ti";"Bad Bunny";"2022-05-06";"QM6MZ2214877";64;184.8;1811990630;173358;67603671;79;1516863120;8870768;4506600;4506600;6470937272;934894575;124;77120;327;44;14871714;63;111324744;39123;0;3393920;1
"Calm Down";"Calm Down";"Rema";"2022-02-10";"NGA3B2214004";66;180.1;584427088;182994;19203258;68;1141904909;8766235;6129450;6129450;18216656774;2952879912;138;191634;759;53;3481756;45;98290873;46039;14668216;22563407;0
"CARNIVAL";"CARNIVAL";"ýý$";"2024-02-08";"QZ7XS2400012";67;179.6;466887055;53842;103935623;84;27688666;449112;0;0;0;33817299;42;53333;0;11;199915;29;1359484;11303;11703609;1982000;1
"Kill Bill";"SOS";"SZA";"2022-12-08";"USRC12204584";68;177.7;1873746537;190202;99546318;82;220538045;3153793;266430;266430;1284413960;426461749;214;655242;5448;73;1304067;122;57350590;61270;16992932;4873832;0
"What Was I Made For? [From The Motion Picture ""Barbie""""]""";"What Was I Made For? (From The Motion Picture ""Barbie"""")""";"Billie Eilish";"2023-07-13";"USUM72307484";69;177.6;891720245;114560;97542546;82;144741616;2761964;1443103;1443103;3998086216;1384310160;168;275119;68;108;10920686;111;39374594;19921;5418596;4476509;0
"Heat Waves";"Heat Waves";"Glass Animals";"2020-06-29";"GBUM72000433";71;175.0;2996181078;486278;112416489;82;1272898075;14947520;1416295;1416295;5518429969;4899313022;459;1414326;1434;170;11862378;95;122247640;160431;0;17848778;0
"Shakira: Bzrp Music Sessions, Vol. 53";"Shakira: Bzrp Music Sessions, Vol. 53";"Bizarrap";"2023-01-11";"UYB282301031";73;174.3;946941510;100130;74836321;74;776436101;12951756;4210895;4210895;11936401096;457987382;110;165670;180;106;4971379;92;48806666;10225;0;2237762;0
"Old Town Road";"Old Town Road";"Lil Nas X";"2019-03-14";"USSM11901941";75;170.3;1010494713;127393;18652312;67;2147483647;41487213;5757883;5757883;1981431049;939714925;63;49780;2195;64;397418;100;181784010;2022074;106880548;8856633;0
"un x100to";"un x100to";"Grupo Frontera";"2023-04-17";"QM6N22311285";76;170.2;1008495696;99381;57394938;75;878892413;4425283;796603;796603;1669065906;1522934425;101;73481;225;42;5734172;81;55857743;15528;0;2283747;0
"Sprinter";"Sprinter - Single";"Dave";"2023-06-01";"GBUM72305159";78;168.1;692512930;199828;55464762;78;219666692;2332307;731797;731797;1254944697;918145630;155;42082;36;41;1790031;76;411656;3414;12405917;3093667;1
"CHIHIRO";"HIT ME HARD AND SOFT";"Billie Eilish";"2024-05-17";"USUM72401988";79;167.8;169410711;11028;144854768;90;19402457;997411;284;284;0;260377114;185;1008;0;53;20737850;59;521322;698;1680434;388625;0
"TQG";"TQG";"KAROL G";"2023-02-23";"USUM72222541";80;167.8;1024381758;78554;69319589;78;1102289596;8953293;457111;457111;248168852;1174053183;138;149584;38;84;8850320;131;68022934;16511;164895;3488226;1
"Perfect";"ýý (Deluxe)";"Ed Sheeran";"2017-03-03";"GBAHS1700024";81;167.5;2969999682;280165;116921604;81;2147483647;39632673;6642975;6642975;7647479866;1708317539;208;263386;129;343;1242581;102;617483078;595052;0;0;0
"Pepas";"Pepas";"Farruko";"2021-06-24";"USSD12100307";82;167.3;1500499584;359502;125112486;74;1431591689;11553088;2866181;2866181;4067248819;782475986;258;240677;438;137;4015523;102;120046948;89582;6227;17210946;1
"Ella Baila Sola";"Ella Baila Sola";"Eslabon Armado";"2023-03-16";"USE7D2300007";84;166.5;1215336974;129463;39814172;74;701880622;3831236;5416;5416;15373104;546259059;83;40153;227;24;4946338;61;84378219;53890;17115523;3435177;0
"La Bebe - Remix";"La Bebe (Remix)";"Yng Lvcas";"2023-03-17";"MXF152300159";86;164.9;1032225805;94887;74469479;79;920878032;3118229;1031612;1031612;2416141351;1690231413;83;57941;177;42;3360878;48;55410702;27415;230579;2635577;1
"Easy On Me";"Easy On Me";"Adele";"2021-10-14";"USSM12105970";88;163.2;1720918065;209635;93875458;73;1194846205;13561925;1912194;1912194;7860224413;6353555150;325;774277;1316;257;5323750;100;203324731;126594;0;7569155;0
"Titï¿½ï¿½ Me Pregu";"Un Verano Sin Ti";"Bad Bunny";"2022-05-06";"QM6MZ2214878";89;163.1;1514239759;190692;77283361;77;1366181141;9358441;1769068;1769068;5249863696;488048337;150;145640;920;44;5591928;108;69095169;81914;0;5133847;1
"All My Life (feat. J. Cole)";"All My Life (feat. J. Cole)";"Lil Durk";"2023-05-12";"USQX92302957";90;162.0;333202114;108322;41018697;68;203487345;2084532;928132;928132;748253884;735908540;148;346411;146;30;1277729;60;90114807;46789;16620102;4207535;1
"Anti-Hero";"Midnights";"Taylor Swift";"2022-10-21";"USUG12205736";91;161.8;1563224246;117005;97456780;80;203259285;3482508;1302967;1302967;3864505972;724976542;261;1034319;1088;74;4457357;150;92338994;45974;0;4703179;0
"Quevedo: Bzrp Music Sessions, Vol. 52";"Quevedo: Bzrp Music Sessions, Vol. 52";"Bizarrap";"2022-07-06";"UYB282201028";92;161.7;1692951462;209490;88591675;78;1132539234;8795731;1212100;1212100;2054826154;56677146;99;138254;37;58;5211955;65;18052815;5213;4099686;6836893;0
"Magnetic";"SUPER REAL ME";"ILLIT";"2024-03-25";"USA2P2413259";93;161.0;255076355;11500;90584540;86;202206901;2596912;0;0;506476590;273521596;67;4716;137;9;423666;44;220481;1207;556784;659825;0
"Lollipop";"EVERYBODY GO TO THE DISCOTEK";"Darell";"2023-07-28";"USSD12300307";94;158.2;275349653;37806;22826643;70;347506860;1553295;4349700;4349700;4767676439;2676837761;19;23875;96;37;3780737;29;5101044;5276;0;1245874;1
"La Diabla";"La Diabla - Single";"Xavi";"2023-12-02";"USA2P2357356";95;155.9;649404552;27544;47789063;83;433839212;2750086;0;0;10603563;1795939912;29;16287;462;34;16509806;26;22603598;29401;0;1380069;0
"Boy's a Liar Pt. 2";"Boy's a liar Pt. 2";"PinkPantheress";"2023-02-03";"GBAYE2300015";96;153.6;851085705;129047;50996176;70;211810152;2461166;3502547;3502547;8781020473;806434641;162;223173;6243;65;8655684;130;10207007;36847;13896129;2580691;1
"Snooze";"SOS";"SZA";"2022-12-09";"USRC12204591";97;153.3;1013350808;108036;86470319;84;390677417;2521214;402338;402338;887803828;560893301;154;559589;513;60;2707900;61;74611167;85113;17702595;3129609;1
"BELLAKEO";"BELLAKEO";"Peso Pluma";"2023-12-07";"QMFMF2388143";98;153.1;359803580;26065;79152427;86;369321334;1839225;720800;720800;874056250;4123457278;40;16952;69;63;18139662;51;20058510;7289;0;1002835;1
