"Track";"Album Name";"Artist";"Release Date";"ISRC";"All Time Rank";"Track Score";"Spotify Streams";"Spotify Playlist Count";"Spotify Playlist Reach";"Spotify Popularity";"YouTube Views";"YouTube Likes";"TikTok Posts";"TikTok Likes";"TikTok Views";"YouTube Playlist Reach";"Apple Music Playlist Count";"AirPlay Spins";"SiriusXM Spins";"Deezer Playlist Count";"Deezer Playlist Reach";"Amazon Playlist Count";"Pandora Streams";"Pandora Track Stations";"Soundcloud Streams";"Shazam Counts";"Explicit Track"
"WORK";"GOLDEN HOUR : Part.1";"ATEEZ";"2024-05-31";"KRD442400011";282;91.7;10135326;678;14542753;31;29271837;586888;0;0;0;30784;13;158;0;7;18929;41;102486;119;566;25958;0
"Despacito - Remix";"Despacito Feat. Justin Bieber (Remix)";"Luis Fonsi";"2017-04-17";"USUM71703825";284;91.5;1713294983;134700;39604784;65;2147483647;17308189;1323640;1323640;607999568;380296279;268;598;57;91;820925;27;332562946;1547528;0;7805645;0
"Ghost";"Justice";"Justin Bieber";"2021-03-19";"USUM72102635";283;91.5;1586830204;151923;73574395;80;476319277;4622504;797409;797409;1180485094;2976186938;119;844492;3180;114;303462;49;129493114;54497;0;4413143;0
"Dior";"Meet The Woo";"Pop Smoke";"2019-07-26";"USUM71914275";285;91.4;1070422470;294539;47391658;72;909072115;7522969;1447194;1447194;1077344517;3659504;132;82158;53;38;316666;11;55282282;69945;103490551;4711998;1
"Una Noche en Medellï¿½";"Una Noche en Medellï¿½";"Cris Mj";"2022-01-21";"QM4TW2218961";288;90.7;839405565;107431;27444811;75;662287768;4695932;3874773;3874773;4817726878;438066241;41;29848;601;19;1780823;46;8328637;7361;0;2351019;1
"SAD!";"SAD!";"XXXTENTACION";"2018-03-02";"USUG11800208";289;90.5;2218531106;263801;60437070;75;1800863873;26301389;1295895;1295895;435340082;178579824;77;21340;107;45;409497;17;187658592;508457;79154715;3798652;1
"Primera Cita";"La Primera Cita - Single";"Carin Leon";"2023-04-20";"QZQMB2104890";290;90.5;598006591;35842;34735524;80;415255950;1480134;916093;916093;1108602382;384774756;32;26180;172;25;9487462;25;26478187;16200;1434610;2336296;0
"Efecto";"Un Verano Sin Ti";"Bad Bunny";"2022-05-06";"QM6MZ2214884";292;90.1;1293773697;115332;51081689;77;501908214;2730759;2482560;2482560;6046489956;179322656;50;33285;48;16;2258927;51;43667676;13112;0;1927360;1
"Slow It Down";"Slow It Down";"Benson Boone";"2024-03-22";"USWB12400913";294;89.4;202667139;11945;116623933;85;25188125;291189;0;0;3500000;126501922;56;36922;326;37;6074638;74;16853510;3223;442051;518777;0
"Yonaguni";"Yonaguni";"Bad Bunny";"2021-06-04";"QM6P42169803";295;88.6;1398634184;177082;44848091;71;1084871745;7894095;884793;884793;2877719483;314632224;145;54669;145;40;381403;48;62939872;19535;0;2211960;1
"Heathens";"Heathens";"Twenty One Pilots";"2016-06-16";"USAT21601930";296;88.6;1777196966;241108;65091468;78;2147483647;21763865;4715288;4715288;1024805500;479301512;125;153475;322;108;534238;31;513952113;630803;0;14696531;0
"Whoopty";"Whoopty";"CJ";"2020-08-20";"USA2P2031043";297;88.6;775664145;213464;28998615;61;810607861;8889460;2403279;2403279;4864435271;144018344;158;1644;533;31;74337;15;60410875;41096;59294063;6422051;1
"Super Shy";"NewJeans 'Super Shy'";"NewJeans";"2023-07-07";"USA2P2330068";298;88.4;547471596;48103;22977059;77;202977396;2705714;1201620;1201620;1998080214;776229988;56;23381;258;22;671053;58;1428951;6871;2172977;528849;0
"Happier";"Happier - Single";"Marshmello";"2018-08-16";"USUG11801651";299;87.9;2143821605;220298;53040597;16;1512765689;18732541;1228334;1228334;809336882;2340278160;209;390418;293;444;639996;73;375500033;584098;0;10193237;0
"HARLEY QUINN";"HARLEY QUINN - Single";"Fuerza Regida";"2023-10-18";"QZ9QQ2300781";301;87.7;462284590;31617;36745154;84;110545167;325395;911100;911100;1947539058;184602581;41;13786;721;46;7896597;39;14745087;13732;233125;1075943;1
"Baby Don't Hurt Me";"Baby Don't Hurt Me - Single";"David Guetta";"2023-04-07";"UKWLG2300016";300;87.7;509231024;69486;142546135;79;40223001;328421;0;0;312;298775920;145;396880;425;121;3802321;91;29557806;1437;1308074;3375037;0
"Butter";"Butter";"BTS";"2021-05-21";"QM6MZ2156864";302;87.5;1257974135;90160;40533320;70;1175755478;27744989;2098050;2098050;8120632702;3244619218;221;181961;545;43;1426798;68;23569614;50520;0;4173408;0
"Calma - Remix";"Calma (Remix)";"Pedro Capï¿";"2018-10-05";"USSD11800343";303;87.2;1153753974;118846;37335160;67;2147483647;13572964;1847640;1847640;124640416;374564231;152;57934;7;77;859903;2;168274012;88107;0;14113990;0
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"""")""";"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"""")""";"Justin Timberlake";"2016-05-06";"USRC11600876";305;87.1;1733302434;191065;88781556;72;2147483647;9042088;2563738;2563738;153590873;319751277;459;364043;576;482;2062925;116;605593706;1206969;0;15828266;0
"Say So";"Hot Pink";"Doja Cat";"2019-11-07";"USRC11903454";306;87.0;1199270601;161574;48493190;69;879051516;10069968;8992493;8992493;5494376938;745421859;295;1309;531;180;1309139;72;110184400;176348;0;10741166;1
"Ransom";"Ransom";"Lil Tecca";"2019-05-22";"QZ85M1940160";307;86.8;1355971796;198992;52412236;77;749040183;8156272;501905;501905;532109309;51588391;99;26259;154;32;958518;25;88012413;229716;162569561;2972685;1
"Romantic Homicide";"Romantic Homicide";"d4vd";"2022-07-20";"QZMEM2232831";308;86.8;1136504636;152157;60605828;81;154143867;2307573;515601;515601;1306972284;89389771;65;8306;43;25;426502;15;8674577;16784;30568973;1892741;0
"Pink Skies";"Pink Skies";"Zach Bryan";"2024-05-24";"USWB12401947";309;86.7;60240739;4611;98570633;84;3322959;65840;0;0;843600;235974273;82;734;1;26;5164376;79;5006041;2349;521223;156886;0
"Rockabye (feat. Sean Paul & Anne-Marie)";"Rockabye (feat. Sean Paul & Anne-Marie)";"Clean Bandit";"2016-10-21";"GBAHS1600363";310;86.6;1528107667;170648;55710071;73;2147483647;16180445;2416274;2416274;595697842;1722812433;188;174095;83;151;643408;38;231249781;177271;35600592;23696980;1
"Rich Men North of Richmond";"Rich Men North of Richmond - Single";"Oliver Anthony Music";"2023-08-11";"QZPLS2305267";312;86.5;214598468;66613;6363839;74;145094088;2568642;8397;8397;35469076;733344471;21;5633;0;2;164805;12;93004856;63249;0;736604;1
"BESO";"RR";"ROSALï¿½";"2023-03-24";"USSM12301258";313;86.3;647201484;81393;46208549;74;186060248;1524559;946380;946380;1792090770;28857204;117;106591;277;80;4935799;65;20360773;4829;113549;1589528;0
"MTG QUEM Nï¿½ï¿½O QUER SO";"MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si";"DJ TOPO";"2024-05-10";"BXIV82456543";315;86.1;51198446;3022;40425173;80;14990394;244589;245300;245300;0;0;8;48;0;29;9552072;20;0;0;0;128880;0
"Que Vuelvas";"Que Vuelvas - Single";"Carin Leon";"2022-12-09";"QZWT32210000";314;86.1;684853927;42893;25716699;73;547937715;1638787;1100030;1100030;1162186778;4235395;45;14160;358;20;2332617;18;100368438;17421;0;1654594;1
"Just Wanna Rock";"Just Wanna Rock";"Lil Uzi Vert";"2022-10-17";"USAT22219211";318;85.8;665519026;152193;67322941;68;187947945;2379515;1016531;1016531;5516142056;169512700;73;4066;5729;20;707505;93;30928677;53530;0;3245670;1
"Mood Swings (feat. Lil Tjay)";"Shoot For The Stars Aim For The Moon";"Pop Smoke";"2020-07-03";"USUM72013632";317;85.8;785016247;210669;32702397;70;654629596;5578060;1826673;1826673;976662212;56134858;100;41;25;8;33088;4;140629473;71183;73950933;3516050;1
"Fuck Love (feat. Trippie Redd)";"17";"XXXTENTACION";"2017-08-25";"USUYG1156898";319;85.6;1615274494;203617;35375009;79;515463883;6471385;59900;59900;100843174;4528014;37;1088;0;14;176966;5;106473506;116371;319835943;2026025;1
"Rich Flex";"Her Loss";"Drake";"2022-11-04";"USUG12208598";320;85.5;812274757;185579;57165405;73;86053276;651228;317033;317033;1834709832;41553113;116;644;128;27;1296204;54;61423121;33488;0;2300268;1
"Standing Next to You";"GOLDEN";"Jung Kook";"2023-11-03";"USA2P2348391";321;85.5;675865902;23181;58344509;85;130563278;4183405;308567;308567;628043802;2554205866;37;62294;25;49;6851022;24;3073921;1442;0;1220942;0
"Congratulations";"Congratulations";"Post Malone";"2016-11-04";"USUM71614484";322;85.3;1984802459;246374;81736432;75;1790918527;11063672;955053;955053;811673866;172345162;143;32009;57;41;337255;26;389602011;364648;155990695;5233589;1
"Do It To It";"Do It To It";"ACRAZE";"2021-08-20";"QZFPL2100100";324;85.2;805019111;238887;94531613;73;117678524;1540284;2600179;2600179;10369065597;116322631;192;217739;2822;105;1784254;40;51038784;9188;0;9653748;0
"Tusa";"Tusa";"KAROL G";"2019-11-07";"USUM71921183";323;85.2;1497511486;157185;59187880;68;1816772749;12498062;1636079;1636079;414336041;458694827;232;150990;111;256;1274272;83;104611041;127399;0;7663807;0
"For The Night (feat. Lil Baby & DaBaby)";"Shoot For The Stars Aim For The Moon";"Pop Smoke";"2020-07-03";"USUM72013355";325;84.8;1119350842;272485;46626350;71;767399825;6283245;1312576;1312576;1505078331;68109096;206;243703;234;33;158712;24;218042360;64927;0;4546156;1
"Good Good";"Good Good";"USHER";"2023-08-04";"QZS7J2331813";326;84.7;53825007;14742;9204769;59;83224436;607267;88131;88131;89022964;250252884;22;343553;33;7;543853;34;58537921;22294;2154788;1896814;1
"Austin";"Austin - Single";"Dasha";"2023-11-17";"QZTB92360479";327;84.6;273023490;17900;169190514;87;28916868;303426;744600;744600;2850135008;448423212;99;83189;449;48;1283979;130;22107065;4925;337191;1521087;1
"Search & Rescue";"Search & Rescue";"Drake";"2023-04-07";"USUG12301601";329;84.6;337858357;96709;21646810;69;40938953;336819;106645;106645;192701225;235007162;89;119741;162;15;535329;13;44542627;18653;14784764;1383076;1
"TULUM";"TULUM";"Peso Pluma";"2023-06-28";"QM7282325573";328;84.6;390182196;36912;13688250;74;253468644;1103093;1096644;1096644;1391833232;51539597;44;20963;71;16;2197720;38;23438854;7268;2169379;964306;1
"Shivers";"#NAME?";"Ed Sheeran";"2020-01-01";"GBAHS2100671";330;84.4;1568058093;188855;77441110;77;683237554;4641763;389848;389848;1292107474;4334606324;263;925333;1773;222;4658778;112;290859819;66708;0;10179048;0
"Adderall (Corvette Corvette)";"Adderall (Corvette Corvette)";"Popp Hunna";"2020-10-14";"USA2P2036916";332;84.1;90383224;24868;4716437;45;29836991;627377;16892400;16892400;4082175492;1067;20;470;423;6;22115;3;6283417;26512;10556085;759001;1
"Sunroof";"Sunroof";"Nicky Youre";"2021-12-03";"USQX92202129";334;83.8;890752779;104690;38444734;79;169046580;1678946;621;621;5807175;2854434834;149;849471;491;65;1743336;9;110963977;82293;771581;2488830;0
"Los del Espacio";"Los del Espacio - Single";"LIT killah";"2023-06-01";"USWL12300725";336;83.3;373898429;53671;24287193;72;314467618;1775081;782114;782114;1715842070;670200525;42;29417;3;27;645947;28;79804;197;0;776352;0
"Taste (feat. Offset)";"Taste (feat. Offset)";"Tyga";"2018-05-16";"USUYG1198481";338;83.1;1358105253;217189;31143734;69;1875005008;10236903;3833884;3833884;1981780200;526087000;67;46534;142;34;183823;33;476875275;185157;0;7997160;1
"MAMIII";"MAMIII";"Becky G";"2022-02-10";"USRC12200425";337;83.1;911797058;80109;53928265;74;628307968;4924401;1741513;1741513;3410691967;36403252;125;165243;430;59;3772475;83;112920660;34289;190971;3561445;1
"Until I Found You";"Until I Found You";"Stephen Sanchez";"2021-09-01";"USUG12103651";339;83.0;1020452066;169696;52678003;73;385820349;4710732;796783;796783;3320885451;3540186470;75;269792;1886;30;897931;42;38544039;26435;8598138;11693340;0
"Banana (feat. Shaggy)";"Banana (feat. Shaggy)";"Conkarah";"2019-08-16";"QMRSZ1901446";341;82.7;27747363;9067;1365840;41;136028794;1352520;23206073;23206073;11797196743;11609501;12;7746;100;8;90628;10;0;0;0;348103;0
"Stick Season";"Stick Season";"Noah Kahan";"2022-07-08";"USUM72212470";342;82.6;965865213;113676;169323128;86;89431811;659870;82855;82855;275016537;315685769;148;319240;577;85;16767304;103;18405146;38276;8435767;3365903;0
"Need To Know";"Need To Know";"Doja Cat";"2021-06-11";"USRC12101120";344;82.5;1178076856;164743;42269625;71;507790705;6169368;734932;734932;2422643413;2099921417;195;439065;1451;38;870717;28;90615307;51300;0;5746726;1
"Quï¿½ï¿½ Ago";"Pa' Luego Es Tarde";"Yuridia";"2022-10-20";"MXF012200200";343;82.5;394381902;22919;12262540;73;805683907;2076505;998663;998663;847830213;14566260;24;25712;1169;18;2340656;15;14271775;11420;0;1353588;0
"Last Last";"Last Last";"Burna Boy";"2022-05-12";"USAT22204901";346;82.4;410722289;130203;16877163;68;332556651;1906835;260214;260214;1049244970;306416991;203;214958;2031;30;258278;94;15787293;18736;16995425;4840000;0
"500lbs";"500lbs";"Lil Tecca";"2023-07-21";"USUM72309854";349;82.1;350584176;79228;26972646;68;32342535;452857;638;638;11627298;277256864;19;1239;1452;5;31145;19;2538334;6256;18379949;776386;1
"Knife Talk (with 21 Savage ft. Project Pat)";"Certified Lover Boy";"Drake";"2021-09-03";"USUG12104409";348;82.1;732652170;217189;35225322;72;247680355;2184804;264300;264300;711702658;379789269;67;3965;443;10;74228;26;96181566;75646;43754739;2095961;1
"BILLIE EILISH.";"BILLIE EILISH.";"Armani White";"2022-05-19";"SGB502248062";350;82.0;359416593;91114;29730236;64;116400996;2127918;4530098;4530098;10488403602;74794888;40;169548;7064;18;137293;52;29260633;18576;24428;3310069;1
"ýýýýýýýýýýýý";"ýýýýýýýýýýýý";"YOASOBI";"2023-04-12";"JPP302300157";351;81.8;356559943;47785;12078942;69;490408465;4295510;504800;504800;1871819472;1227624888;59;1883;0;7;44834;12;540614;419;0;804248;0
"Lï¿½ï¿½ï¿½AMOUR DE";"HIT ME HARD AND SOFT";"Billie Eilish";"2024-05-17";"USUM72401990";352;81.6;84575291;5186;51449432;85;11080040;346121;137;137;0;3541236;95;271;1;19;2682503;18;183562;231;749185;214747;0
"Thinkinï¿½ï¿½ï¿½ B";"One Thing At A Time";"Morgan Wallen";"2023-03-03";"USUG12300821";353;81.5;406319778;42283;16439412;80;84066193;368256;117408;117408;99492470;606650627;50;262596;145;2;2456;19;181953005;27501;7289828;1185776;0
"Madonna";"Madonna - Single";"Natanael Cano";"2024-03-08";"QZ9QQ2400185";354;81.3;272838329;7265;54631978;85;105675950;806116;0;0;2099500;126527485;23;572;0;10;2210844;8;1544866;966;0;572478;1
"deja vu";"deja vu";"Olivia Rodrigo";"2021-04-01";"USUG12101240";355;81.3;1606975517;172376;64346126;80;638102695;7847239;1210842;1210842;3758269019;2265662637;206;279408;332;27;76887;49;62922329;74501;0;3545397;1
"CONTIGO (with Tiï¿½ï¿½";"CONTIGO (with Tiï¿½ï¿½";"KAROL G";"2024-02-15";"USUG12400966";357;81.0;162165853;10306;87901542;85;93106341;1394962;0;0;0;1916097608;66;46348;53;45;4652694;69;11091776;1611;179;775583;0
"WILDFLOWER";"HIT ME HARD AND SOFT";"Billie Eilish";"2024-05-17";"USUM72401993";359;80.8;100838516;5188;50795354;87;6390843;134606;253;253;0;934654;76;181;5;16;4083154;39;294656;163;1075841;124583;0
"Doja";"Doja";"Central Cee";"2022-07-21";"ZZOPM2237319";360;80.5;676519766;192241;57503569;74;201326163;3061387;492679;492679;3919404141;279634941;66;58802;2699;31;877441;42;1285099;3136;0;2415167;1
"Kill This Love";"Kill This Love";"BLACKPINK";"2019-04-04";"KRA401900005";361;80.4;820840650;63934;18843601;67;2147483647;40314889;1738066;1738066;1616215054;269811977;67;9022;24;25;237406;24;11369224;57874;0;2892074;0
"Good Luck, Babe!";"Good Luck, Babe!";"Chappell Roan";"2024-04-05";"USUG12401967";363;80.2;176290078;13470;157502211;87;6018651;140562;61889;61889;263955300;17447092;99;16680;0;65;10743893;122;572090;1327;479188;485935;0
"Sweet but Psycho";"Sweet but Psycho";"Ava Max";"2018-08-17";"USAT21802011";365;80.1;1668741024;174052;42966784;76;1254501233;9554049;5371543;5371543;2733847243;2008056455;192;368635;784;106;1172519;44;189191184;253101;44121;13479680;0
"Hey Mor";"Hey Mor";"Ozuna";"2022-10-06";"QMDA62203322";364;80.1;986132265;97956;68983561;76;383748675;1303919;793798;793798;2145975300;45000407;79;65798;79;41;3780470;78;27759302;3605;0;1428200;0
"Ferrari";"Ferrari";"James Hype";"2022-03-15";"GB3CE2200004";366;80.1;626010147;185422;78359363;74;202193289;1277287;88909;88909;368044894;877635000;132;253244;332;76;1468578;44;2598595;2953;6916408;6257313;0
"Falling";"Falling";"Trevor Daniel";"2018-10-05";"USUYG1221109";367;80.0;1606023895;225643;32822629;71;1151842584;15653870;6047796;6047796;8742744684;529839674;115;168415;126;195;454460;4;212305894;141079;2388;12373665;0
"positions";"positions";"Ariana Grande";"2020-10-23";"USUM72019412";368;80.0;1432830108;139215;53934095;74;778340255;10401273;1268910;1268910;1984520688;1958337600;283;599336;639;43;242610;50;90015866;39920;0;3299253;1
"Where Are You Now";"Where Are You Now";"Lost Frequencies";"2021-07-30";"BEHP42100067";370;79.9;1223329465;211823;114773091;74;214359669;1467163;308286;308286;413908070;1857452555;256;391895;308;158;4728637;51;80579628;6731;0;8462590;0
"Save Your Tears";"After Hours";"The Weeknd";"2020-03-20";"USUG12000658";371;79.9;1995511952;304456;63126296;80;365257705;2699016;415050;415050;1154403769;327;285;3607;321;46;105227;27;283725931;79728;22025427;15776388;1
"Happier Than Ever";"Happier Than Ever";"Billie Eilish";"2021-07-30";"USUM72105936";372;79.9;1321878145;189487;51228803;78;530778926;8470860;570442;570442;2295813182;1152917073;199;82181;275;51;547449;50;9900535;29358;15220155;4647622;1
"This Is What You Came For";"This Is What You Came For";"Calvin Harris";"2016-04-29";"GBARL1600460";373;79.8;1746790923;204049;117171040;79;2147483647;13411706;2176881;2176881;137718139;276177209;356;119588;81;173;1609545;86;595393905;143591;1056564;13444054;0
"China";"China";"Anuel AA";"2019-07-19";"QM6P41952433";376;79.5;1178076574;137559;58323638;68;2147483647;9851235;386741;386741;146747450;300548195;182;36105;20;75;1424896;63;97138846;31755;2130789;5865011;0
"Let It Go - From ""Frozen""""/Soundtrack Version""";"Frozen (Original Motion Picture Soundtrack / Deluxe Edition)";"Idina Menzel";"2013-01-01";"USWD11366376";374;79.5;759374819;64239;27371339;69;2147483647;11589558;837092;837092;966469545;93296828;151;5863;0;31;159525;45;273693240;3302248;0;2515774;0
"Moonlight";"?";"XXXTENTACION";"2018-03-16";"USUG11800209";375;79.5;1885431727;241112;41330643;77;1607650475;24201486;275009;275009;300772720;160456727;66;16859;2;41;344324;15;138948996;311466;80552486;3644968;1
"That's What I Like";"24K Magic";"Bruno Mars";"2016-11-17";"USAT21602948";378;79.3;2075459887;209632;84707015;80;2147483647;17077084;604526;604526;704916578;408244698;142;57222;316;270;391125;44;666715599;500761;0;0;0
"The Business";"The Business";"Tiï¿½ï¿";"2020-09-16";"CYA112000624";381;78.3;1191635193;255697;78272032;70;539885283;4027102;777092;777092;1435552956;462516169;362;277419;484;216;3941324;41;108360279;53852;140470;9642311;0
"Ride It";"Ride It";"Regard";"2019-07-26";"GBCEN1900047";382;78.2;1349427877;220002;106549747;76;564022753;3884141;3646762;3646762;5118900832;49285616;357;386774;894;273;2339277;65;182505519;51884;19580257;16283609;0
"Mwaki";"SURRENDER";"Zerb";"2023-09-27";"NLRD52339318";383;77.9;121234000;36468;76765385;42;78160610;806269;118600;118600;395342206;303381336;48;90542;163;51;19833933;34;1553861;760;1832441;4890793;0
"BICHOTA";"BICHOTA";"KAROL G";"2020-10-23";"USUM72019324";385;77.8;868091483;86379;31261057;64;1591945481;7916193;1586770;1586770;1153849236;172943996;133;36028;239;38;1594172;33;70065986;48232;0;1740278;1
"The Hills";"The Hills";"The Weeknd";"2015-05-27";"USUG11500737";388;77.5;2306740926;333310;91689799;80;2147483647;15819333;1064662;1064662;1174129136;297672687;178;9129;131;67;891934;30;665990282;568806;22542449;17199384;1
"Seven (feat. Latto) (Clean Ver.)";"Seven (feat. Latto)";"Jung Kook";"2023-07-14";"USA2P2330092";389;77.4;1673557134;15863;14237841;72;0;0;1500000;1500000;1092175292;0;57;112184;0;5;2931;20;0;0;0;0;0
"SKINNY";"HIT ME HARD AND SOFT";"Billie Eilish";"2024-05-17";"USUM72401995";390;77.3;77212437;4083;13850203;84;7658766;246884;472;472;1423956;934654;52;238;2;12;1198375;32;226853;318;1687131;39163;0
"Te Felicito";"Te Felicito";"Shakira";"2022-04-21";"USQX92201764";392;77.0;719593291;74269;37254627;67;719244041;4424400;826261;826261;2594106000;455293047;98;124848;455;53;3243848;69;25538867;8165;0;2583205;0
"Que Onda";"Que Onda - Single";"Calle 24";"2023-08-30";"USDXS2303230";393;76.9;642548537;36781;21579429;81;227994801;335112;205583;205583;499670882;92125885;34;1124;45;23;8060357;34;20174633;7393;0;0;1
"Stumblin' In";"Stumblin' In";"CYRIL";"2023-11-10";"NLZ542301810";394;76.9;180784576;22208;150873146;83;29260192;247757;91700;91700;61731912;320584411;91;111796;0;117;31191745;55;241739;270;1595230;4657449;0
"STAR WALKIN' (League of Legends Worlds Anthem)";"STAR WALKIN' (League of Legends Worlds Anthem) - Single";"Lil Nas X";"2022-09-22";"USSM12208809";396;76.6;428164381;80340;18339674;68;138760138;1465825;61144;61144;419346148;99649191;69;469798;534;41;1075897;42;35931504;11075;0;5323336;1
"Desesperados";"VICE VERSA";"Rauw Alejandro";"2021-12-10";"USSD12100779";397;76.6;1021480638;119558;50631491;78;722946861;3591807;793105;793105;2153526389;815766418;75;55181;92;42;3476743;53;61269232;6584;0;2591948;1
"Sugar";"V (Deluxe)";"Maroon 5";"2014-08-29";"USUM71410340";399;76.6;1838092894;186038;69903249;75;2147483647;16983201;234084;234084;406531709;1795021430;197;3772;240;350;1067956;54;761320130;358336;0;10029992;1
"Old Town Road - Remix";"Old Town Road";"Lil Nas X";"2019-04-05";"USSM11902498";404;76.2;1527106099;186252;34012219;68;11512;171;4203166;4203166;478304071;0;263;109745;6;65;1653659;14;114089318;855810;60525149;12855943;0
"Let Me Love You";"Encore";"DJ Snake";"2016-08-05";"QMZSY1600015";403;76.2;2147028486;205482;89333146;80;2147483647;18290642;4116973;4116973;528988791;1945612445;239;192774;208;163;1417821;97;418986672;113233;0;15320597;0
"Envolver";"Envolver - Single";"Anitta";"2021-11-11";"USWL12100576";401;76.2;635241142;77669;44546385;65;836072339;4909216;2101465;2101465;9427647770;1434107266;102;86127;402;72;1135788;86;19183846;6406;0;2534489;0
"Oublie-moi";"Oublie-moi";"Emkal";"2022-09-16";"FRDDV2200780";405;76.0;17992999;11288;327900;42;58383075;502081;7146060;7146060;2858109417;34801360;1;1309;0;1;8606;1;0;0;0;1860955;1
"MAESTRO";"SEVENTEEN BEST ALBUM '17 IS RIGHT HERE'";"SEVENTEEN";"2024-04-29";"USA2P2415975";407;75.7;35244286;1629;14912783;75;70452629;1873655;0;0;90497430;5822984;15;632;0;5;176790;40;93561;118;0;85957;0
"NUEVA VIDA";"Gï¿½ï¿½N";"Peso Pluma";"2023-06-22";"QM7282306253";408;75.6;253464894;22779;10733622;76;191499043;634671;1755500;1755500;708437568;534279807;6;115;0;4;1599559;10;22214240;5494;0;781164;1
"you broke me first";"you broke me first";"Tate McRae";"2020-04-17";"USRC12000832";409;75.6;1439465700;169076;47204234;77;706284693;7820244;880567;880567;1383885042;947613259;238;395572;776;65;1097172;38;175068272;92428;20648981;5808069;1
"Beggin'";"Chosen";"Mï¿½ï¿½ne";"2017-12-08";"ITB001700846";413;75.4;1601293263;358760;75186063;79;424132504;4191200;7717647;7717647;18153723096;1718450782;271;478458;784;168;2960260;55;63838488;75382;0;14404336;0
"Hawï¿½";"Hawï¿½";"Maluma";"2020-07-29";"USSD12000190";415;75.3;1289186767;123303;48973048;73;1464055196;7754280;729784;729784;131926571;371508169;201;80055;98;86;5370315;99;105490212;45106;0;2387272;0
"LA FALDA";"LA FALDA - Single";"Myke Towers";"2023-11-22";"USWL12302952";416;75.3;367399860;29235;106808249;82;104584293;726526;0;0;14800;1109634551;57;42471;593;54;6789731;30;2176876;1851;1095337;1040348;1
"Cradles";"Cradles";"Sub Urban";"2019-01-04";"GB2LD1800949";418;75.2;737097685;155765;20317539;68;1098942075;19179674;6010728;6010728;8841517566;56344836;19;23497;0;14;41677;7;77491669;121008;42287751;11014789;0
"Roses - Imanbek Remix";"Roses (Imanbek Remix)";"SAINt JHN";"2019-05-04";"RUB421901499";417;75.2;1927961994;323997;86092004;72;320969468;3572454;399114;399114;525749281;319370580;387;368034;0;285;2691423;51;273518696;155662;0;28977015;1
"Angel Numbers / Ten Toes";"11:11";"Chris Brown";"2023-11-10";"USRC12302900";419;75.1;179565178;40225;15526253;75;41976731;479163;273400;273400;451763725;514925755;54;5615;0;25;454601;9;3470078;3794;4120249;2788317;1
"Under The Influence";"Indigo (Extended)";"Chris Brown";"2019-10-04";"USRC11902743";423;74.9;1249760413;202465;56664631;79;699931779;6139127;1107358;1107358;2436202278;257447653;186;456661;1057;60;1734864;39;101759650;81211;17909859;12188959;1
"Life Goes On";"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)";"Oliver Tree";"2020-07-17";"USAT22007153";424;74.8;568230113;142225;16247309;68;531872316;9887683;8041280;8041280;11938256726;2159219012;46;48336;774;19;356456;16;13530275;21169;0;4910428;0
"SI NO ES CONTIGO";"SI NO ES CONTIGO";"Cris Mj";"2024-05-23";"QM6N22466972";427;74.5;45287928;2099;98932469;81;17850177;358428;0;0;0;145759995;21;5;0;9;2032136;9;181048;89;468013;268642;1
"Trance (with Travis Scott & Young Thug)";"HEROES & VILLAINS";"Metro Boomin";"2022-12-02";"USUG12208787";429;74.4;637325281;142076;31958929;79;25776208;246133;12122;12122;58477615;145379;35;2;0;9;948806;10;2184964;4214;16505933;3359877;1
"Rock and A Hard Place";"Rock and A Hard Place";"Bailey Zimmerman";"2022-06-10";"USWB12201797";430;74.4;412845771;59749;11166198;73;215094924;1522549;203904;203904;777869891;506206031;37;325922;84;4;2647;16;260646662;39816;10255088;1315179;0
"Wanna Be";"Wanna Be (Alternate Versions)";"GloRilla";"2024-04-03";"USUM72403374";433;74.1;66836198;4228;57383746;77;43174948;552134;0;0;0;130569102;37;6174;249;5;1421437;22;16660021;5363;2437483;269767;1
"Don't Let Me Down";"Pop Party";"The Chainsmokers";"2016-01-01";"USQX91600011";432;74.1;1888829482;206507;80884955;76;2147483647;18577555;1564955;1564955;6097870496;366325473;4;126648;72;101;784557;55;768352230;344561;0;0;0
"DDU-DU DDU-DU";"SQUARE UP";"BLACKPINK";"2018-06-15";"KRA401800096";434;74.0;701726499;51129;14859569;65;2147483647;41630558;798667;798667;683794564;265722945;55;3420;26;13;200165;17;13315881;51227;0;1916314;0
"telepatï¿½";"Sin Miedo (del Amor y Otros Demonios) ï¿½";"Kali Uchis";"2020-11-18";"GBUM72005748";435;73.9;1151629030;201783;55679157;77;456651608;6111089;1448920;1448920;3401301248;244384379;164;173512;1303;63;488896;60;53202036;41954;18082840;6239619;0
"Wake Me Up";"TRUE";"Avicii";"2013-01-01";"SEUM71301326";436;73.7;2325017580;347004;112575684;81;2147483647;17924466;349966;349966;360378218;351953763;302;358498;230;213;1715157;87;311299334;837891;0;28653448;0
